ScientificName,Family,Genus,TVK,AccountPage,TablePage,HeadShape,SetaeSpacing,Colour,Length,Diameter,EcoGroup,MalePore,CliStart,CliEnd,CliWidth,TPStart,TPEnd,TPWidth,TPShape
Allolobophora chlorotica,Lumbricidae,Allolobophora,NBNSYS0000022337,28,26,Epilobic,Close,"[Pink, Green]",[30-38],[2-7],Endogeic,15,[28-29],37,[9-10],31,35,5,"[3 mounds, 3 discs]"
Allolobophoridella eiseni,Lumbricidae,Allolobophoridella,NHMSYS0020500986,29,26,Tanylobic,Close,Dull red,[30-64],[2-5],Epigeic,15,[24-25],[32-33],[8-10],0,0,0,None
Aporrectodea caliginosa,Lumbricidae,Aporrectodea,NBNSYS0000022338,29,26,Epilobic,Close,Pinky grey,[40-180],[2-7],Endogeic,15,[25-29],[34-36],[8-12],31,33,3,2 humps
Aporrectodea cupulifera,Lumbricidae,Aporrectodea,NHMSYS0020926421,30,26,Epilobic,Close,Pinky grey,[35-50],,Endogeic,15,[25-26],32,[7-8],[27-28],[30-31],[3-5],"[2  mounds, 2 discs]"
Aporrectodea icterica,Lumbricidae,Aporrectodea,NBNSYS0000022339,30,26,Epilobic,Close,Grey,[50-140],[3-6],Endogeic,15,[33-34],[42-44],[9-11],[35-36],[42-43],[7-9],"Long, thin band"
Aporrectodea limicola,Lumbricidae,Aporrectodea,NBNSYS0000022340,31,26,Epilobic,Close,Grey,[40-100],[3-4],Endogeic,15,[28-29],[35-36],[7-9],33,34,2,2 humps
Aporrectodea longa,Lumbricidae,Aporrectodea,NBNSYS0000022341,31,26,Epilobic,Close,Almost black,[90-170],[4-9],Anecic,15,[27-28],[35-36],[8-10],[31-32],34,[3-4],Band
Aporrectodea rosea,Lumbricidae,Aporrectodea,NBNSYS0000022342,32,26,Epilobic,Close,"[Grey, Pink]",[20-110],[2-6],Endogeic,15,[25-26],[32-33],[7-9],29,[30-31],[2-3],Raised band
Dendrobaena attemsi,Lumbricidae,Dendrobaena,NBNSYS0000022343,33,26,Epilobic,Wide,"[Pink, Red]",[26-70],[1-3],Epigeic,15,[28-29],34,[6-7],30,32,3,Raised band
Dendrobaena hortensis,Lumbricidae,Dendrobaena,NHMSYS0020500973,33,26,Epilobic,Wide,Red,[20-50],[1.5-5],Epigeic,15,[26-27],33,[7-8],30,[31-32],[2-3],Swelling
Dendrobaena pygmaea,Lumbricidae,Dendrobaena,NBNSYS0000022345,34,26,Epilobic,Wide,,[15-45],[0.5-1.2],Epigeic,15,[32-33],[37-38],[5-7],35,37,3,"[None, Ridge]"
Dendrobaena octaedra,Lumbricidae,Dendrobaena,NBNSYS0000022344,34,27,Epilobic,Wide,Red,[20-60],[2-5],Composter,15,[27-29],[33-34],[5-8],31,33,3,"[Thin band, Raised area]"
Dendrobaena veneta,Lumbricidae,Dendrobaena,NHMSYS0020500965,35,27,Epilobic,Wide,Red,[50-155],[4-8],Composter,15,[26-27],[32-33],[6-8],[29-30],[31-32],[2-4],Swelling
Dendrodrilus rubidus,Lumbricidae,Dendrodrilus,NBNSYS0000022346,35,27,Epilobic,Wide,Red,[20-100],[2-6],Epigeic,15,[25-27],[31-32],[6-9],[28-29],30,[3-4],Swelling
Eisenia fetida,Lumbricidae,Eisenia,NBNSYS0000022348,36,27,Epilobic,Close,Red,[26-130],[2-6],Composter,15,[24-26],[32-34],[7-11],[27-28],[30-31],[3-5],Thin bands
Eiseniella tetraedra,Lumbricidae,Eiseniella,NBNSYS0000022335,36,27,Epilobic,Close,Pale,[20-80],[1.5-4],Endogeic,[11-15],[22-23],[26-27],[4-6],[22-23],[26-27],[4-6],Band
Helodrilus oculatus,Lumbricidae,Helodrilus,NBNSYS0000022352,37,27,Epilobic,Close,Pale,[35-80],[1-2],Endogeic,15,[21-22],32,[10-11],29,30,2,Ridge
Lumbricus castaneus,Lumbricidae,Lumbricus,NBNSYS0000022353,37,27,Tanylobic,Close,Red,[30-85],[2-5],Anecic,15,[27-28],[33-34],[6-8],29,32,4,Band
Lumbricus festivus,Lumbricidae,Lumbricus,NBNSYS0000022355,38,27,Tanylobic,Close,Red,[48-110],[3.5-6],Epigeic,15,[33-34],40,[7-8],35,38,4,Band
Lumbricus friendi,Lumbricidae,Lumbricus,NBNSYS0000022356,38,27,Tanylobic,Close,Red,[90-200],[4-8],Anecic,15,[32-33],38,[6-7],34,36,3,Thin ridge
Lumbricus rubellus,Lumbricidae,Lumbricus,NBNSYS0000022357,39,27,Tanylobic,Close,Red,[25-150],[3-6],Endogeic,15,[26-27],32,[6-7],28,31,4,Thick band
Lumbricus terrestris,Lumbricidae,Lumbricus,NBNSYS0000022358,39,27,Tanylobic,Close,Red,[90-350],[6-10],Anecic,15,32,37,6,[32-33],[36-37],[4-6],Ridge
Microscolex phosphoreus,Acanthrodilidae,Microscolex,NBNSYS0000022368,40,27,Epilobic,Other,Phosphorescent,[10-35],[1-1.5],Endogeic,17,13,17,5,0,0,0,None
Murchieona muldali,Lumbricidae,Murchieona,NBNSYS0000151890,40,27,Epilobic,Close,Pinky grey,[10-60],[1.2-2],Endogeic,15,[26-27],[33-34],[7-9],0,0,0,None
Octolasion cyaneum,Lumbricidae,Octolasion,NBNSYS0000022360,41,27,Epilobic,Wide,Blue grey,[65-140],[5-8],Endogeic,15,29,34,6,[29-30],[33-34],[4-6],Band
Octolasion lacteum,Lumbricidae,Octolasion,NHMSYS0021013459,41,27,Epilobic,Wide,Grey,[25-160],[2.5-6],Endogeic,15,30,35,6,[30-31],[34-35],[4-6],Band
Satchellius mammalis,Lumbricidae,Satchellius,NBNSYS0000022362,42,27,Epilobic,Wide,Red,[24-41],[1.5-3],Epigeic,15,31,36,6,33,34,2,Raised band
Sparganophilus tamesis,Sparganophilidae,Sparganophilius,NBNSYS0000022336,42,27,Epilobic,Close,Pink,[70-200],[1-5],Endogeic,19,14,26,13,[15-19],[22-24],[4-10],
